0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7,7,7,7,4,7,7,7,7,4,7,7,7,7,0,0
0,0,3,1,1,3,4,3,1,1,3,4,3,1,1,3,0,0
0,0,3,3,3,3,4,3,3,3,3,4,3,3,3,3,0,0
0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0
0,0,3,3,1,3,3,3,2,2,3,3,3,1,3,3,0,0
0,0,3,3,3,3,2,2,2,2,2,2,3,3,3,3,0,0
0,0,3,2,3,2,2,2,2,2,2,2,2,3,2,3,0,0
0,0,3,2,3,2,2,2,2,2,2,2,2,3,2,3,0,0
0,0,3,3,3,3,2,2,2,2,2,2,3,3,3,3,0,0
0,0,3,3,3,3,3,3,2,2,3,3,3,3,3,3,0,0
0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0
0,0,3,3,3,3,0,3,3,3,3,0,3,3,3,3,0,0
0,0,3,3,3,3,0,3,3,3,3,0,3,3,3,3,0,0
0,0,3,3,3,3,0,3,3,3,3,0,3,3,3,3,0,0
0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
